id	Qald question	QueGG question	lexical entry	sparql	answer								
3877	What is the faith of Kwai Chang Caine ?	What is the faith of Kwai Chang Caine ?	faith of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kwai_Chang_Caine> <http://dbpedia.org/ontology/religion> ?uri } 	[]								
3884	List the settlements area whose province is Metropolitan City of Venice ?	List the settlements area whose province is Metropolitan City of Venice ?	province of 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/province> <http://dbpedia.org/resource/Metropolitan_City_of_Venice>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}	[]								
3900	Who is the writer of mark twain Tonight ?	Who is the writer of mark twain Tonight ?	writer of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mark_Twain_Tonight> <http://dbpedia.org/property/writer> ?uri } 	[]								
3913	Which nationalist group was responsible for foundation of Young Lords?	Which nationalist group was responsible for foundation of Young Lords?	responsible for foundation of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Young_Lords> <http://dbpedia.org/property/international> ?uri } 	[]								
3943	What is the venue of San Diego Comic-Con International ?	What is the venue of San Diego Comic-Con International ?	venue	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/San_Diego_Comic-Con_International> <http://dbpedia.org/property/venue> ?uri } 	[]								
3993	What are the airline hubs of Cascade Airways?	What are the airline hubs of Cascade Airways?	airline hubs of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Union_of_Cambodian_Democrats> <http://dbpedia.org/ontology/ideology> ?uri } 	[]								
4029	List the people residing in Wilton, Connecticut?	List the people residing in Wilton, Connecticut?	residing in	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/residence> <http://dbpedia.org/resource/Wilton,_Connecticut> } 	[]								
4045	Music of how many things has been given by Akira Ifukube?	Music of how many things has been given by Akira Ifukube?	music of	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/music> <http://dbpedia.org/resource/Akira_Ifukube>  . }	[]								
4070	What is the origin of Xynisteri?	What is the origin of Xynisteri?	What is the origin of Xynisteri?	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Xynisteri> <http://dbpedia.org/ontology/origin> ?uri } 	[]								
4102	Name the nearest city to David W. Brown House ?	Name the nearest city to David W. Brown House ?	nearest city to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_W._Brown_House> <http://dbpedia.org/ontology/nearestCity> ?uri } 	[]								
4115	How many movies have been directed by Orson Welles ?	How many movies have been directed by Orson Welles ?	directed by	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/director> <http://dbpedia.org/resource/Orson_Welles>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
4123	Who designed the language integrated query?	Who designed the language integrated query?	designed	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Language_Integrated_Query> <http://dbpedia.org/ontology/designer> ?uri  . }	[]								
4164	Who operates Liverpool Playhouse ?	Who operates Liverpool Playhouse ?	operates	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liverpool_Playhouse> <http://dbpedia.org/ontology/operatedBy> ?uri } 	[]								
4167	where did Deion Sanders debut?	where did Deion Sanders debut?	debut	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Deion_Sanders> <http://dbpedia.org/property/debutteam> ?uri } 	[]								
4186	To which educational institute does Cornell University Press belong to?	To which educational institute does Cornell University Press belong to?	belong to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cornell_University_Press> <http://dbpedia.org/ontology/parentCompany> ?uri } 	[]								
4249	Name the awards won by Elie Wiesel ?	Name the awards won by Elie Wiesel ?	won by	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elie_Wiesel> <http://dbpedia.org/property/awards> ?uri } 	[]								
4268	Name the local authority of Trinity School, Brentwood ?	Name the local authority of Trinity School, Brentwood ?	local authority of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Trinity_School,_Brentwood> <http://dbpedia.org/ontology/localAuthority> ?uri } 	[]								
4366	What is the river whose source is Lake Ontario?	What is the river whose source is Lake Ontario?	source	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/source> <http://dbpedia.org/resource/Lake_Ontario>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}	[]								
4367	Which rivers have source origins asnorth western, Zambia ?	Which rivers have source origins asnorth western, Zambia ?	source origin of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/sourceRegion> <http://dbpedia.org/resource/North-Western_Province,_Zambia>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}	[]								
4372	Where was  William Anthony  trained ?	Where was  William Anthony  trained ?	trained	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Anthony_(artist)> <http://dbpedia.org/ontology/training> ?uri } 	[]								
4380	Count the battles fought by Raoul Magrin-Vernerey?	Count the battles fought by Raoul Magrin-Vernerey?	fought by	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Raoul_Magrin-Vernerey> <http://dbpedia.org/property/battles> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>}	[]								
4413	Which scientist was advised by John Robert Woodyard?	Which scientist was advised by John Robert Woodyard?	advised by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/John_Robert_Woodyard>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>}	[]								
4432	Name the team manger of Middlebrough F.C season 2006-07 ?	Name the team manger of Middlebrough F.C season 2006-07 ?	team manger of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2006–07_Middlesbrough_F.C._season> <http://dbpedia.org/ontology/manager> ?uri } 	[]								
4448	Where can one find the Dzogchen Ponolop Rinpoche?	Where can one find the Dzogchen Ponolop Rinpoche?	find	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dzogchen_Ponlop_Rinpoche> <http://dbpedia.org/property/location> ?uri } 	[]								
4469	Which country's leader  is Giuseppe Bertello?	Which country's leader  is Giuseppe Bertello?	leader of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/Giuseppe_Bertello>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>}	[]								
4491	What is Naval Support Activity Naples a part of?	What is Naval Support Activity Naples a part of?	part of?	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Naval_Support_Activity_Naples> <http://dbpedia.org/ontology/type> ?uri } 	[]								
4514	Name the city of Phil-Ellena ?	Name the city of Phil-Ellena ?	city of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Phil-Ellena> <http://dbpedia.org/ontology/city> ?uri } 	[]								
4516	To which nation did David Animle Hanses owe his allegiance?	To which nation did David Animle Hanses owe his allegiance?	allegiance to 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Animle_Hansen> <http://dbpedia.org/property/allegiance> ?uri } 	[]								
4517	Count the tenants of MasterCard Centre?	Count the tenants of MasterCard Centre?	tenants of	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/MasterCard_Centre> <http://dbpedia.org/property/tenants> ?uri  . }	[]								
4543	Who owns the airport in Paphos?	Who owns the airport in Paphos?	own	SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Paphos_District> . ?x <http://dbpedia.org/property/owner> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Airport>}	[]								
4558	Which universities are also known as the Tulane Green wave?	Which universities are also known as the Tulane Green wave?	known as	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/nickname> <http://dbpedia.org/resource/Tulane_Green_Wave>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/University>}	[]								
4567	what has been developed by John Fanning?	what has been developed by John Fanning?	developed by	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/developer> <http://dbpedia.org/resource/John_Fanning_(businessman)> } 	[]								
4583	Who are currently playing for Barcelona FC?	Who are currently playing for Barcelona FC?	currently playing for	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentclub> <http://dbpedia.org/resource/FC_Barcelona> } 	[]								
4591	What type of engines are utilised by Purvis Eureka?	What type of engines are utilised by Purvis Eureka?	engines are utilised by	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Purvis_Eureka> <http://dbpedia.org/property/engine> ?uri } 	[]								
4612	Who did Daniel Gibson marry?	Who did Daniel Gibson marry?	marry	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Daniel_Gibson>  . }	[]								
4618	How many movies are distributed by Cinema International Corporation?	How many movies are distributed by Cinema International Corporation?	distributed by	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/distributor> <http://dbpedia.org/resource/Cinema_International_Corporation>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
4634	How many apes are there?	How many apes are there?	apes	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }	[]								
4636	How many cities are close to Lake Victoria?	How many cities are close to Lake Victoria?	close to	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Lake_Victoria> <http://dbpedia.org/ontology/nearestCity> ?uri  . }	[]								
4642	What is the name of the homeground of football team Panionios G.S.S.?	What is the name of the homeground of football team Panionios G.S.S.?	name of the homeground of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2013–14_Panionios_G.S.S._season> <http://dbpedia.org/ontology/ground> ?uri } 	[]								
4659	List the  outflow of Lake Uniamsi?	List the  outflow of Lake Uniamsi?	outflow of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lake_Uniamési> <http://dbpedia.org/ontology/outflow> ?uri } 	[]								
4668	Who edited  British Gazette ?	Who edited  British Gazette ?	edited	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/British_Gazette> <http://dbpedia.org/property/editor> ?uri } 	[]								
4706	Name the nationalteam of Trn Vit Hng ?	Name the nationalteam of Trn Vit Hng ?	nationalteam of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Trần_Việt_Hương> <http://dbpedia.org/property/nationalteam> ?uri } 	[]								
4727	How many television shows have  Fox Broadcasting Company as their channel?	How many television shows have  Fox Broadcasting Company as their channel?	channel	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/channel> <http://dbpedia.org/resource/Fox_Broadcasting_Company>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}	[]								
4728	How many things are written in C++?	How many things are written in C++?	written in	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/programmingLanguage> <http://dbpedia.org/resource/C++>  . }	[]								
4736	Who is the child of John Tyler, Sr.?	Who is the child of John Tyler, Sr.?	child of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Tyler,_Sr.> <http://dbpedia.org/ontology/child> ?uri } 	[]								
4737	What is the country with native language as Languages of Ethiopia?	What is the country with native language as Languages of Ethiopia?	native language as	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Languages_of_Ethiopia>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>}	[]								
4742	Which artists trained in San Francisco Art Institute?	Which artists trained in San Francisco Art Institute?	trained in	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/training> <http://dbpedia.org/resource/San_Francisco_Art_Institute>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>}	[]								
4806	Which footballers did their high school in west Sacramento california?	Which footballers did their high school in west Sacramento california?	high school in	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/highSchool> <http://dbpedia.org/resource/West_Sacramento,_California>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AmericanFootballPlayer>}	[]								
4828	which movies have been published by Cinema International Corporation?	which movies have been published by Cinema International Corporation?	have been published by	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/distributor> <http://dbpedia.org/resource/Cinema_International_Corporation> } 	[]								
4836	Count the number of characters in Batman Live?	Count the number of characters in Batman Live?	characters in	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>}	[]								
4850	Copley Medal has been awarded to which scientists?	Copley Medal has been awarded to which scientists?	has been awarded to	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Copley_Medal>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>}	[]								
4859	To which city does Northeast Library belong?	To which city does Northeast Library belong?	city belong to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Northeast_Library> <http://dbpedia.org/ontology/city> ?uri } 	[]								
4864	Which comic characters were created by Paul Dini?	Which comic characters were created by Paul Dini?	created by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/Paul_Dini>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>}	[]								
4869	What developed EMMS?	What developed EMMS?	developed	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/EMMS> <http://dbpedia.org/ontology/developer> ?uri } 	[]								
4875	Which hockey team is head coached by Bill Peters?	Which hockey team is head coached by Bill Peters?	head coached by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/headCoach> <http://dbpedia.org/resource/Bill_Peters_(ice_hockey)>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/HockeyTeam>}	[]								
4879	How many companies were started in the states?	How many companies were started in the states?	 started in	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/United_States>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}	[]								
4896	Who is the narrator of The Incredible Hulk , 1982 TV series ?	Who is the narrator of The Incredible Hulk , 1982 TV series ?	narrator of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Incredible_Hulk_(1982_TV_series)> <http://dbpedia.org/property/narrated> ?uri } 	[]								
4911	Giorgos Kaminis is the mayor of what?	Giorgos Kaminis is the mayor of what?	mayor of	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/mayor> <http://dbpedia.org/resource/Giorgos_Kaminis> } 	[]								
4912	Name the incumbent of Linda Jenness ?	Name the incumbent of Linda Jenness ?	incumbent of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Linda_Jenness> <http://dbpedia.org/ontology/incumbent> ?uri } 	[]								
4947	Where was Girls (The Prodigy song)  recorded ?	Where was Girls (The Prodigy song)  recorded ?	recorded 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Girls_(The_Prodigy_song)> <http://dbpedia.org/property/recorded> ?uri } 	[]								
4949	Who are the scientists known for the Manhattan Project?	Who are the scientists known for the Manhattan Project?	known for	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/knownFor> <http://dbpedia.org/resource/Manhattan_Project>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>}	[]								
4971	In which city did The Ultimate Fighter: Team Rousey vs. Team Tate take place ?	In which city did The Ultimate Fighter: Team Rousey vs. Team Tate take place ?	city in	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate> <http://dbpedia.org/property/city> ?uri } 	[]								
4980	Muhammad Yunus has won how many awards?	Muhammad Yunus has won how many awards?	won	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Muhammad_Yunus> <http://dbpedia.org/ontology/award> ?uri  . }	[]								
								0	0	0	NaN	NaN	NaN
